id,benchmark,function,passes,wcet
139,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - loop-vectorize - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn",129846
140,ns/ns,foo,"no-op-function - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - loop-vectorize - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn",129846
141,ns/ns,foo,"loop-load-elim - gvn - mem2reg,loop-unroll<O3>",230866
142,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-sink - mem2reg,loop-unroll<O3>",230926
143,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-sink - mem2reg,loop-unroll<O3>",230926
144,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-sink - mem2reg,loop-unroll<O3>",230926
145,ns/ns,foo,"pgo-memop-opt - mem2reg,loop-unroll<O3> - gvn - bdce - gvn",129846
146,ns/ns,foo,"mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3> - gvn - bdce - gvn",129846
147,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3> - gvn - bdce - gvn",129846
148,ns/ns,foo,"slp-vectorizer - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3> - gvn - bdce - gvn",129846
149,ns/ns,foo,"libcalls-shrinkwrap - sroa - mem2reg,loop-unroll<O3>",230926
150,ns/ns,foo,"mem2reg,loop-unroll<O3> - libcalls-shrinkwrap - sroa - mem2reg,loop-unroll<O3>",230926
151,ns/ns,foo,"memcpyopt - sccp - mem2reg,loop-unroll<O3> - libcalls-shrinkwrap - sroa - mem2reg,loop-unroll<O3>",230926
152,ns/ns,foo,"memcpyopt - gvn",367636
153,ns/ns,foo,"memcpyopt - loop-distribute - memcpyopt - loop-mssa(licm)",370686
154,ns/ns,foo,"loop-simplify - memcpyopt - loop-distribute - loop-mssa(licm)",370686
155,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-simplify - memcpyopt - loop-distribute - loop-mssa(licm)",212596
156,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-simplify - loop-simplify - memcpyopt - loop-distribute - loop-mssa(licm)",212596
157,ns/ns,foo,"loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop(indvars) - loop-mssa(licm)",190296
158,ns/ns,foo,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop(indvars) - loop-mssa(licm)",190296
159,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop(indvars) - loop-mssa(licm)",212596
160,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop(loop-deletion)",230926
161,ns/ns,foo,"pgo-memop-opt - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-mssa(licm)",212596
